terrace	bedrooms	construction_year	date_month	date_year	date_year_month	floor	rooms	price_room	price_surface	price	surface	zip
yes	2.0	1986.0	3	2016	201603	up floor	2.0	162500.0	3591.160220994475	325000	90.5	85221
yes	1.0	1972.0	3	2016	201603	up floor	2.0	172500.0	3812.1546961325967	345000	90.5	85521
yes	2.0	1968.0	3	2016	201603	up floor	2.0	185000.0	4088.3977900552486	370000	90.5	81369
yes	2.0	1963.0	3	2016	201603	up floor	2.0	199500.0	4408.839779005525	399000	90.5	82110
yes	2.0	1973.0	3	2016	201603	up floor	2.0	184400.0	4075.1381215469614	368800	90.5	81735
yes	2.0	1972.0	3	2016	201603	up floor	2.0	128500.0	2839.779005524862	257000	90.5	85716
yes	2.0	1975.0	3	2016	201603	up floor	2.0	164500.0	3635.3591160220994	329000	90.5	81673
yes	1.0	1972.0	3	2016	201603	up floor	2.0	159500.0	3524.8618784530386	319000	90.5	85716
yes	1.0	1983.0	3	2016	201603	up floor	2.0	172500.0	3812.1546961325967	345000	90.5	81379
yes	2.0	1967.0	3	2016	201603	up floor	2.0	149500.0	3303.8674033149173	299000	90.5	81927
yes	1.0	1970.0	3	2016	201603	up floor	2.0	182500.0	4033.1491712707184	365000	90.5	81245
yes	2.0	1976.0	3	2016	201603	up floor	2.0	192500.0	4254.14364640884	385000	90.5	81925
yes	1.0	1973.0	3	2016	201603	up floor	2.0	143500.0	3171.270718232044	287000	90.5	85540
yes	2.0	1968.0	3	2016	201603	up floor	2.0	190000.0	4198.8950276243095	380000	90.5	81245
yes	1.0	2005.0	3	2016	201603	up floor	2.0	179000.0	3955.8011049723755	358000	90.5	82110
yes	2.0	1964.0	3	2016	201603	up floor	2.0	155000.0	3425.414364640884	310000	90.5	82110
yes	1.0	1972.0	3	2016	201603	up floor	2.0	174500.0	3856.353591160221	349000	90.5	82061
yes	2.0	1974.0	3	2016	201603	up floor	2.0	138336.0	3057.1491712707184	276672	90.5	81735
yes	1.0	1974.0	3	2016	201603	up floor	2.0	175000.0	3867.403314917127	350000	90.5	80935
yes	2.0	1967.0	3	2016	201603	ground floor	2.0	160000.0	3535.9116022099447	320000	90.5	85521
yes	2.0	1913.0	3	2016	201603	up floor	2.0	150000.0	3314.9171270718234	300000	90.5	81371
yes	2.0	1960.0	3	2016	201603	up floor	2.0	169500.0	3745.8563535911603	339000	90.5	81245
yes	2.0	1969.0	3	2016	201603	up floor	2.0	162500.0	3591.160220994475	325000	90.5	81673
yes	3.0	1975.0	3	2016	201603	up floor	2.0	199000.0	4397.790055248619	398000	90.5	81735
yes	3.0	1970.0	3	2016	201603	up floor	2.0	194000.0	4287.292817679558	388000	90.5	80807
yes	2.0	1972.0	3	2016	201603	up floor	2.0	200000.0	4419.889502762431	400000	90.5	81735
yes	2.0	1989.0	3	2016	201603	up floor	2.0	135000.0	2983.425414364641	270000	90.5	81737
yes	2.0	1975.8583638583639	3	2016	201603	up floor	2.0	187500.0	4143.646408839779	375000	90.5	81539
yes	2.0	1978.0	3	2016	201603	up floor	2.0	189500.0	4187.845303867403	379000	90.5	81371
yes	2.0	1967.0	3	2016	201603	up floor	2.0	185000.0	4088.3977900552486	370000	90.5	81243
yes	1.0	1976.0	3	2016	201603	up floor	2.0	134500.0	2972.3756906077347	269000	90.5	85640
yes	1.0	1979.0	3	2016	201603	up floor	2.0	184500.0	4077.3480662983425	369000	90.5	82131
yes	1.0	1971.0	3	2016	201603	up floor	2.0	192500.0	4254.14364640884	385000	90.5	81476
yes	1.0	1967.0	3	2016	201603	up floor	2.0	110000.0	2430.939226519337	220000	90.5	80689
yes	3.0	1967.0	3	2016	201603	up floor	2.0	192900.0	4262.983425414364	385800	90.5	81541
yes	2.0	1968.0	3	2016	201603	up floor	2.0	172500.0	3812.1546961325967	345000	90.5	82008
yes	2.0	1969.0	3	2016	201603	up floor	2.0	192500.0	4254.14364640884	385000	90.5	82008
yes	1.0	1963.0	3	2016	201603	up floor	2.0	180000.0	3977.9005524861877	360000	90.5	80686
yes	2.0	1963.0	3	2016	201603	up floor	2.0	189750.0	4193.370165745856	379500	90.5	82110
